 2-3,2017.8,长治市黎城县,-1,-1
静乐县人民银行,1977.09,忻州市静乐县,静乐县人民银行,-1
检察院,1977.09,忻州市静乐县,检察院,-1
 1-2,2016.10,忻州市,-1,-1
 任忻县一中教师；,1977.3,-1,-1,教师
 在忻县地区师专学习；,1978.9-1981.9,忻县,-1,学习
 1-2,2011.8,忻州市,-1,-1
——,2015.11,-1,-1,-1
 毕业于山西农业大学农业推广专业,2005.6,山西省,山西农业大学,-1
——,2016.10,-1,-1,-1
——今,2016.7,-1,-1,-1
 盂县苌池乡统计员,1980.3-1984.2,盂县,-1,统计员
 在北京大学攻读公共管理硕士,2007.02-2009.07,北京市,北京大学,-1
 吕梁师专学习,1983.09-1985.07,吕梁市,-1,学习
 2-4,2016.8,长治市,-1,-1
 任忻州行署督查室副科级督查员,1991.5-1993.10,忻州市,忻州行署督查室,-1
 1-2,2011.2-2016.7,山西省,-1,-1
 晋东南行署经委,1982.08-1984.07,-1,晋东南行署经委,-1
 任山东省临清市副书记；,2002.09,山东省,-1,副书记
年毕业于中国人民解放军第二军医大学军医系,1987,焦作市解放区,中国人民解放军第二军医大学军医系,-1
 获学士学位,1987,焦作市解放区,-1,-1
任国家自然科学基金委评审专家,,-1,国家自然科学基金委,-1
《解放军医院管理杂志》常务副主编,,焦作市解放区,解放军医院管理杂志,-1
《中华医院管理杂志》常务编委等学术任职10余个。,,焦作市解放区,中华医院管理杂志,-1
4-5,,-1,-1,-1
 年享受国务院特殊津贴。,1997,-1,国务院,-1
 曾获省科技进步奖,1998,-1,-1,-1
发表论文30余篇。,,-1,-1,-1
 上海邮电管理局电信市场部业务主管；,1999.12-2000.09,上海市,上海邮电管理局电信市场,-1
至今,2010.12,-1,-1,-1
--,2017.04,-1,-1,-1
 长庆油田运输处从事文秘,1976.10-1985.11,-1,长庆油田运输处,-1
 西峰市公安局,1985.11-1988.09,庆阳市西峰区,西峰市公安局,-1
 辽宁省委党校选调生班学员；,1997.07-1997.08,辽宁省,辽宁省委党校选调生班,-1
 辽宁省大洼县前进农场副场长；,1999.06-2001.01,辽宁省,-1,副场长
5,,-1,-1,-1
 在酒泉地区教委,1987.12-1991.12,酒泉市,酒泉地区教委,-1
——,2016.03,-1,-1,-1
 挂职任原武威市河东乡乡长助理,1990.08-1992.08,武威市,-1,乡长助理
——,2015.06,-1,-1,-1
 中国科学院生态环境研究中心环境科学与工程博士后流动站,2003.07-2005.12,-1,中国科学院生态环境研究中心,-1
——,2017.07,-1,-1,-1
